"CODE","NAME","CASES","CASESVARIATION","AVERAGETEMP","DAY"
"EG","Egypt","101500","0.0015788434971383462","33","20200914 21:00:00.000 -0300"
"EG","Egypt","101641","0.0013891625615763546","35","20200915 21:00:00.000 -0300"
"EG","Egypt","101772","0.0012888499719601342","37","20200916 21:00:00.000 -0300"
"EG","Egypt","101900","0.0012577133199701293","37","20200917 21:00:00.000 -0300"
"EG","Egypt","102015","0.0011285574092247301","36","20200918 21:00:00.000 -0300"
"EG","Egypt","109881","0.002070147919820526","22","20201109 21:00:00.000 -0300"
"EG","Egypt","110095","0.0019475614528444408","22","20201110 21:00:00.000 -0300"
"EG","Egypt","110319","0.0020346064762250785","23","20201111 21:00:00.000 -0300"
"EG","Egypt","110547","0.002066733744867158","22","20201112 21:00:00.000 -0300"
"EG","Egypt","110767","0.0019901037567731372","21","20201113 21:00:00.000 -0300"
"EG","Egypt","111009","0.002184766220986395","20","20201114 21:00:00.000 -0300"
"EG","Egypt","111284","0.002477276617211217","21","20201115 21:00:00.000 -0300"
"EG","Egypt","111613","0.0029563998418460874","21","20201116 21:00:00.000 -0300"
"EG","Egypt","111955","0.003064159192925555","20","20201117 21:00:00.000 -0300"
"EG","Egypt","112318","0.003242374168192577","19","20201118 21:00:00.000 -0300"
"KR","Korea (South)","7755","0.032210834553440704","3","20200309 21:00:00.000 -0300"
"KR","Korea (South)","7869","0.014700193423597678","8","20200310 21:00:00.000 -0300"
"KR","Korea (South)","7979","0.013978904562206126","9","20200311 21:00:00.000 -0300"
"KR","Korea (South)","8086","0.013410201779671638","4","20200312 21:00:00.000 -0300"
"KR","Korea (South)","8162","0.009398961167449914","4","20200313 21:00:00.000 -0300"
"KR","Korea (South)","8236","0.009066405292820387","6","20200314 21:00:00.000 -0300"
"KR","Korea (South)","8320","0.010199125789218067","7","20200315 21:00:00.000 -0300"
"KR","Korea (South)","8413","0.011177884615384616","10","20200316 21:00:00.000 -0300"
"KR","Korea (South)","8565","0.018067276833472007","7","20200317 21:00:00.000 -0300"
"KR","Korea (South)","8652","0.010157618213660246","9","20200318 21:00:00.000 -0300"
"KR","Korea (South)","10936","0.0024750206251718766","18","20200509 21:00:00.000 -0300"
"KR","Korea (South)","10962","0.002377468910021946","16","20200510 21:00:00.000 -0300"
"KR","Korea (South)","10991","0.0026455026455026454","16","20200511 21:00:00.000 -0300"
"KR","Korea (South)","11018","0.0024565553634792103","19","20200512 21:00:00.000 -0300"
"KR","Korea (South)","11037","0.0017244508985296788","11","20200513 21:00:00.000 -0300"
"KR","Korea (South)","11050","0.001177856301531213","22","20200514 21:00:00.000 -0300"
"KR","Korea (South)","11065","0.0013574660633484162","23","20200515 21:00:00.000 -0300"
"KR","Korea (South)","11078","0.001174875734297334","19","20200516 21:00:00.000 -0300"
"KR","Korea (South)","11110","0.0028886080519949448","11","20200517 21:00:00.000 -0300"
"KR","Korea (South)","11122","0.00108010801080108","16","20200518 21:00:00.000 -0300"
"KR","Korea (South)","13417","0.003290211620429223","24","20200709 21:00:00.000 -0300"
"KR","Korea (South)","13479","0.004621003204889319","20","20200710 21:00:00.000 -0300"
"KR","Korea (South)","13512","0.0024482528377476075","17","20200711 21:00:00.000 -0300"
"KR","Korea (South)","13551","0.002886323268206039","19","20200712 21:00:00.000 -0300"
"KR","Korea (South)","13612","0.004501512803483138","19","20200713 21:00:00.000 -0300"
"KR","Korea (South)","13672","0.004407875404055245","24","20200714 21:00:00.000 -0300"
"KR","Korea (South)","13711","0.002852545348156817","25","20200715 21:00:00.000 -0300"
"KR","Korea (South)","13745","0.0024797607760192546","24","20200716 21:00:00.000 -0300"
"KR","Korea (South)","13771","0.0018915969443433977","22","20200717 21:00:00.000 -0300"
"KR","Korea (South)","13816","0.003267736547817878","24","20200718 21:00:00.000 -0300"
"KR","Korea (South)","22055","0.006204662621469958","19","20200909 21:00:00.000 -0300"
"KR","Korea (South)","22176","0.005486284289276808","21","20200910 21:00:00.000 -0300"
"KR","Korea (South)","22285","0.004915223665223665","21","20200911 21:00:00.000 -0300"
"KR","Korea (South)","22391","0.0047565627103432805","23","20200912 21:00:00.000 -0300"
"KR","Korea (South)","22504","0.005046670537269439","22","20200913 21:00:00.000 -0300"
"KR","Korea (South)","22657","0.0067987913259864915","22","20200914 21:00:00.000 -0300"
"KR","Korea (South)","22783","0.0055611952156066555","17","20200915 21:00:00.000 -0300"
"KR","Korea (South)","22893","0.004828161348373787","17","20200916 21:00:00.000 -0300"
"KR","Korea (South)","22975","0.0035818809243000045","20","20200917 21:00:00.000 -0300"
"KR","Korea (South)","23045","0.003046789989118607","19","20200918 21:00:00.000 -0300"
"KR","Korea (South)","27942","0.0051440699305730425","11","20201109 21:00:00.000 -0300"
"KR","Korea (South)","28133","0.006835588003721996","14","20201110 21:00:00.000 -0300"
"KR","Korea (South)","28338","0.007286816194504674","14","20201111 21:00:00.000 -0300"
"KR","Korea (South)","28546","0.007339967534758981","13","20201112 21:00:00.000 -0300"
"KR","Korea (South)","28769","0.007811952637847685","14","20201113 21:00:00.000 -0300"
"KR","Korea (South)","28998","0.007959956898049984","14","20201114 21:00:00.000 -0300"
"KR","Korea (South)","29311","0.01079384785157597","14","20201115 21:00:00.000 -0300"
"KR","Korea (South)","29654","0.011702091365016546","16","20201116 21:00:00.000 -0300"
"KR","Korea (South)","30017","0.01224118162811088","17","20201117 21:00:00.000 -0300"
"KR","Korea (South)","30403","0.012859379684845254","7","20201118 21:00:00.000 -0300"
"MY","Malaysia","149","0.15503875968992248","31","20200309 21:00:00.000 -0300"
"MY","Malaysia","149","0","29","20200310 21:00:00.000 -0300"
"MY","Malaysia","197","0.3221476510067114","29","20200311 21:00:00.000 -0300"
"MY","Malaysia","238","0.20812182741116753","28","20200312 21:00:00.000 -0300"
"MY","Malaysia","428","0.7983193277310925","27","20200313 21:00:00.000 -0300"
"MY","Malaysia","566","0.32242990654205606","29","20200314 21:00:00.000 -0300"
"MY","Malaysia","673","0.18904593639575973","29","20200315 21:00:00.000 -0300"
"MY","Malaysia","790","0.1738484398216939","30","20200316 21:00:00.000 -0300"
"MY","Malaysia","900","0.13924050632911392","29","20200317 21:00:00.000 -0300"
"MY","Malaysia","1030","0.14444444444444443","28","20200318 21:00:00.000 -0300"
"MY","Malaysia","6726","0.010516826923076924","27","20200509 21:00:00.000 -0300"
"MY","Malaysia","6742","0.0023788284269997025","28","20200510 21:00:00.000 -0300"
"MY","Malaysia","6779","0.005487985760901809","24","20200511 21:00:00.000 -0300"
"MY","Malaysia","6819","0.005900575306092344","29","20200512 21:00:00.000 -0300"
"MY","Malaysia","6855","0.005279366476022877","30","20200513 21:00:00.000 -0300"
"MY","Malaysia","6872","0.0024799416484318016","29","20200514 21:00:00.000 -0300"
"MY","Malaysia","6894","0.0032013969732246797","25","20200515 21:00:00.000 -0300"
"MY","Malaysia","6941","0.006817522483318828","29","20200516 21:00:00.000 -0300"
"MY","Malaysia","6978","0.005330643999423714","31","20200517 21:00:00.000 -0300"
"MY","Malaysia","7009","0.004442533677271424","28","20200518 21:00:00.000 -0300"
"MY","Malaysia","8704","0.0009199632014719411","28","20200709 21:00:00.000 -0300"
"MY","Malaysia","8718","0.001608455882352941","27","20200710 21:00:00.000 -0300"
"MY","Malaysia","8725","0.0008029364533149805","26","20200711 21:00:00.000 -0300"
"MY","Malaysia","8729","0.00045845272206303727","25","20200712 21:00:00.000 -0300"
"MY","Malaysia","8734","0.0005728032993470042","28","20200713 21:00:00.000 -0300"
"MY","Malaysia","8737","0.0003434852301351042","27","20200714 21:00:00.000 -0300"
"MY","Malaysia","8755","0.002060203731257869","27","20200715 21:00:00.000 -0300"
"MY","Malaysia","8764","0.0010279840091376355","28","20200716 21:00:00.000 -0300"
"MY","Malaysia","8779","0.0017115472387037882","28","20200717 21:00:00.000 -0300"
"MY","Malaysia","8800","0.0023920719899760794","27","20200718 21:00:00.000 -0300"
"MY","Malaysia","9810","0.018903199002908183","27","20200909 21:00:00.000 -0300"
"MY","Malaysia","9868","0.005912334352701326","25","20200910 21:00:00.000 -0300"
"MY","Malaysia","9915","0.004762869882448318","26","20200911 21:00:00.000 -0300"
"MY","Malaysia","9946","0.0031265758951084218","24","20200912 21:00:00.000 -0300"
"MY","Malaysia","9969","0.002312487432133521","27","20200913 21:00:00.000 -0300"
